math,english,kiswahili,biology,chemistry,physics,geography,history,business,computer,cre,agriculture,analytical_skill,numerical_skill,communication_skill,creativity_skill,technical_skill,leadership_skill,social_skill,physical_skill,artistic_skill,entrepreneurial_skill,recommended_career,career_cluster
9,4,6,1,6,3,7,11,5,9,11,3,10,9,3,9,5,1,7,1,9,1,Tour Guide,Hospitality & Tourism
12,2,6,12,10,1,12,8,1,5,7,11,7,7,4,2,6,7,6,4,7,4,Environmental Scientist,Agriculture & Environment
10,12,5,12,10,11,2,11,8,10,7,6,9,9,5,3,9,3,5,6,1,6,Software Developer,ICT & Computing
3,3,3,4,9,5,12,12,5,6,9,1,1,6,9,3,6,2,7,4,7,10,Military Officer,Security & Defense
10,11,5,11,12,1,7,8,4,5,2,4,8,4,1,10,3,9,9,8,10,5,Pharmacist,Health Sciences
10,7,6,10,10,10,2,8,8,8,7,2,8,5,3,5,6,3,9,9,5,10,Pharmacist,Health Sciences
10,9,1,9,7,2,4,11,8,11,8,4,9,1,9,3,1,1,1,2,8,10,Teacher,Education
12,8,3,12,2,4,10,5,10,1,3,7,1,8,10,9,7,9,3,9,9,3,Graphic Designer,Creative Arts & Media
10,10,6,3,10,2,1,4,10,3,3,4,2,3,9,6,3,3,1,5,5,4,Chef,Hospitality & Tourism
12,10,6,12,8,12,7,3,4,12,7,12,9,9,10,3,9,2,6,7,5,5,Electrical Engineer,Engineering & Technology
2,6,1,11,10,4,5,3,7,5,9,12,7,5,4,8,2,5,4,8,8,9,Marine Engineer,Transport & Aviation
10,1,8,10,5,10,9,7,7,11,6,4,6,6,5,4,3,4,2,4,1,6,Chef,Hospitality & Tourism
10,10,5,9,2,1,3,6,6,11,9,5,7,3,9,5,3,7,8,8,4,5,Education Officer,Education
11,10,8,12,6,2,2,7,5,7,6,6,3,2,6,9,5,2,7,6,5,5,Marine Engineer,Transport & Aviation
1,11,7,10,9,2,3,3,10,1,12,1,5,9,10,5,2,9,4,5,3,10,Pilot,Transport & Aviation
3,2,5,6,4,7,7,6,6,1,4,8,5,8,4,9,5,3,2,3,7,8,Marine Engineer,Transport & Aviation
9,7,5,4,9,10,5,4,12,12,11,11,9,9,8,10,9,2,6,8,1,6,Software Developer,ICT & Computing
9,12,12,8,7,5,4,10,6,10,6,9,9,10,9,2,10,9,10,10,6,7,Lawyer,Law & Governance
10,3,3,11,12,3,4,4,9,2,5,12,8,9,2,3,7,8,6,7,8,9,Actuary,Business & Finance
7,1,6,11,6,2,4,7,10,6,10,10,10,10,1,9,7,9,10,8,1,10,Welder,Skilled Trades & Technical
8,5,1,2,6,10,1,1,7,1,10,8,7,8,9,8,4,1,8,9,6,8,Tour Guide,Hospitality & Tourism
11,10,5,1,6,10,4,7,9,10,12,12,9,9,3,2,9,2,3,9,8,1,Mechatronics Engineer,Engineering & Technology
2,11,7,8,6,6,7,5,10,12,3,7,7,8,9,9,9,4,1,2,5,10,Lecturer,Education
10,10,12,9,11,1,11,9,2,1,9,2,8,6,10,3,7,6,9,9,9,5,Pharmacist,Health Sciences
4,4,4,12,11,11,9,4,2,6,12,10,5,5,4,1,5,6,2,4,1,1,Forester,Agriculture & Environment
11,6,10,11,1,6,12,1,7,2,8,9,4,10,10,3,3,4,4,8,6,3,Veterinary Officer,Agriculture & Environment
